pm10,pm25,so2,co,o3,no2,categori
56,79,22,16,28,36,SEDANG
60,91,24,21,27,37,SEDANG
74,108,22,20,23,38,TIDAK SEHAT
44,60,23,15,23,35,SEDANG
56,77,27,11,21,24,SEDANG
51,64,27,8,16,20,SEDANG
54,70,29,12,16,24,SEDANG
56,76,23,14,17,32,SEDANG
47,61,24,16,18,29,SEDANG
55,73,21,15,19,33,SEDANG
62,74,51,10,57,14,SEDANG
55,73,47,9,53,---,SEDANG
59,74,50,9,51,11,SEDANG
68,82,54,12,39,17,SEDANG
64,83,53,14,45,20,SEDANG
57,72,53,13,66,21,SEDANG
67,83,61,20,46,33,SEDANG
60,79,53,11,54,17,SEDANG
46,59,46,9,61,7,SEDANG
55,73,51,10,58,8,SEDANG
69,87,50,11,57,12,SEDANG
67,87,52,10,63,8,SEDANG
81,112,49,13,48,9,TIDAK SEHAT
56,70,51,9,52,---,SEDANG
54,67,54,10,40,---,SEDANG
52,---,50,9,52,---,SEDANG
54,70,55,11,51,13,SEDANG
41,55,48,8,49,10,SEDANG
56,77,52,13,55,21,SEDANG
66,87,53,12,56,17,SEDANG
60,81,58,13,65,21,SEDANG
64,90,62,15,66,28,SEDANG
73,97,64,18,57,34,SEDANG
86,116,74,19,72,30,TIDAK SEHAT
56,64,52,12,66,19,SEDANG
62,83,52,12,64,20,SEDANG
60,73,52,10,62,13,SEDANG
66,81,53,11,63,16,SEDANG
60,76,46,13,66,21,SEDANG
53,65,55,17,51,28,SEDANG
62,81,49,14,71,20,SEDANG
66,102,13,15,---,20,TIDAK SEHAT
55,77,13,13,---,17,SEDANG
55,83,12,9,25,16,SEDANG
65,108,13,18,---,19,TIDAK SEHAT
61,102,23,13,35,20,TIDAK SEHAT
39,66,20,9,60,15,SEDANG
39,69,19,15,151,20,TIDAK SEHAT
50,76,20,8,71,15,SEDANG
35,58,17,6,47,13,SEDANG
46,76,22,8,66,13,SEDANG
---,89,26,8,34,13,SEDANG
---,96,21,10,29,15,SEDANG
---,94,19,11,25,14,SEDANG
---,77,18,6,26,10,SEDANG
---,79,21,8,33,14,SEDANG
---,68,18,7,29,10,SEDANG
---,65,18,7,24,11,SEDANG
---,58,43,6,25,4,SEDANG
---,86,49,11,29,1,SEDANG
---,81,37,7,29,11,SEDANG
49,74,47,8,26,14,SEDANG
53,73,45,10,25,15,SEDANG
60,85,49,12,31,19,SEDANG
76,112,45,13,---,17,TIDAK SEHAT
51,60,45,7,27,13,SEDANG
58,82,47,8,29,16,SEDANG
51,68,51,5,23,11,SEDANG
62,86,48,8,---,16,SEDANG
58,23,45,8,19,16,SEDANG
44,24,45,9,---,14,BAIK
57,21,9,20,---,37,SEDANG
58,91,37,---,26,13,SEDANG
54,89,38,---,22,10,SEDANG
61,95,39,---,22,12,SEDANG
74,113,41,15,17,13,TIDAK SEHAT
73,117,38,20,21,21,TIDAK SEHAT
54,77,37,7,27,16,SEDANG
51,78,38,22,25,20,SEDANG
56,87,39,9,29,15,SEDANG
46,66,37,6,31,11,SEDANG
42,73,37,7,31,12,SEDANG
65,102,38,8,31,11,TIDAK SEHAT
67,105,37,9,27,11,TIDAK SEHAT
75,112,36,13,24,13,TIDAK SEHAT
51,76,38,3,27,8,SEDANG
62,89,38,---,16,13,SEDANG
54,92,37,---,25,15,SEDANG
49,74,37,4,28,17,SEDANG
39,57,36,---,32,18,SEDANG
61,99,39,10,25,23,SEDANG
60,103,36,9,29,19,TIDAK SEHAT
